dependency_category,link_str,project,option_name,option_value,option_type,option_file,option_technology,dependent_option_name,dependent_option_value,dependent_option_type,dependent_option_file,dependent_option_technology,rag-gpt-4o
value-equality,mall::::mall-portal/src/main/resources/application-dev.yml::::logging.level.com.macro.mall::::debug <-> mall::::mall-search/src/main/resources/application-dev.yml::::logging.level.com.macro.mall::::debug,mall,logging.level.com.macro.mall,debug,ConfigType.UNKNOWN,mall-portal/src/main/resources/application-dev.yml,spring,logging.level.com.macro.mall,debug,ConfigType.UNKNOWN,mall-search/src/main/resources/application-dev.yml,spring,False
value-equality,mall::::mall-portal/src/main/resources/application-dev.yml::::spring.redis.port::::6379 <-> mall::::mall-portal/src/main/resources/application-prod.yml::::spring.redis.port::::6379,mall,spring.redis.port,6379,ConfigType.PORT,mall-portal/src/main/resources/application-dev.yml,spring,spring.redis.port,6379,ConfigType.PORT,mall-portal/src/main/resources/application-prod.yml,spring,False
value-equality,mall::::document/sh/Dockerfile::::ADD::::src::::mall-admin-1.0-SNAPSHOT.jar <-> mall::::document/sh/Dockerfile::::ENTRYPOINT::::param2::::mall-admin-1.0-SNAPSHOT.jar,mall,ADD.src,mall-admin-1.0-SNAPSHOT.jar,ConfigType.PATH,document/sh/Dockerfile,docker,ENTRYPOINT.param2,mall-admin-1.0-SNAPSHOT.jar,ConfigType.UNKNOWN,document/sh/Dockerfile,docker,True
value-equality,mall::::mall-admin/pom.xml::::project::::version::::version:1.0-SNAPSHOT <-> mall::::mall-demo/pom.xml::::project::::version::::version:1.0-SNAPSHOT,mall,project.version,version:1.0-SNAPSHOT,ConfigType.VERSION_NUMBER,mall-admin/pom.xml,maven,project.version,version:1.0-SNAPSHOT,ConfigType.VERSION_NUMBER,mall-demo/pom.xml,maven,False
value-equality,mall::::mall-portal/pom.xml::::project::::parent_mall::::groupId::::com.macro.mall <-> mall::::mall-security/pom.xml::::project::::groupId::::com.macro.mall,mall,project.parent_mall.groupId,com.macro.mall,ConfigType.NAME,mall-portal/pom.xml,maven,project.groupId,com.macro.mall,ConfigType.NAME,mall-security/pom.xml,maven,False
value-equality,mall::::document/docker/docker-compose-env.yml::::services::::mysql::::ports::::in::::3306 <-> mall::::document/docker/docker-compose-env.yml::::services::::mysql::::ports::::out::::3306,mall,services.mysql.ports.in,3306,ConfigType.PORT,document/docker/docker-compose-env.yml,docker-compose,services.mysql.ports.out,3306,ConfigType.PORT,document/docker/docker-compose-env.yml,docker-compose,False
value-equality,mall::::mall-admin/src/main/resources/application-dev.yml::::minio.bucketName::::mall <-> mall::::pom.xml::::project::::artifactId::::mall,mall,minio.bucketName,mall,ConfigType.UNKNOWN,mall-admin/src/main/resources/application-dev.yml,spring,project.artifactId,mall,ConfigType.NAME,pom.xml,maven,False
value-equality,mall::::mall-admin/pom.xml::::project::::parent_mall::::artifactId::::mall <-> mall::::mall-admin/src/main/resources/application.yml::::redis.database::::mall,mall,project.parent_mall.artifactId,mall,ConfigType.NAME,mall-admin/pom.xml,maven,redis.database,mall,ConfigType.NAME,mall-admin/src/main/resources/application.yml,spring,False
value-equality,mall::::mall-portal/pom.xml::::project::::parent_mall::::version::::version:1.0-SNAPSHOT <-> mall::::mall-security/pom.xml::::project::::version::::version:1.0-SNAPSHOT,mall,project.parent_mall.version,version:1.0-SNAPSHOT,ConfigType.VERSION_NUMBER,mall-portal/pom.xml,maven,project.version,version:1.0-SNAPSHOT,ConfigType.VERSION_NUMBER,mall-security/pom.xml,maven,False
value-equality,mall::::mall-admin/src/main/resources/application-dev.yml::::spring.datasource.username::::root <-> mall::::mall-search/src/main/resources/application-dev.yml::::spring.datasource.username::::root,mall,spring.datasource.username,root,ConfigType.USERNAME,mall-admin/src/main/resources/application-dev.yml,spring,spring.datasource.username,root,ConfigType.USERNAME,mall-search/src/main/resources/application-dev.yml,spring,False
value-equality,mall::::mall-admin/pom.xml::::project::::parent_mall::::artifactId::::mall <-> mall::::mall-portal/src/main/resources/application-prod.yml::::spring.rabbitmq.password::::mall,mall,project.parent_mall.artifactId,mall,ConfigType.NAME,mall-admin/pom.xml,maven,spring.rabbitmq.password,mall,ConfigType.PASSWORD,mall-portal/src/main/resources/application-prod.yml,spring,False
value-equality,mall::::mall-admin/src/main/resources/application-dev.yml::::spring.datasource.url::::jdbc:mysql://localhost:3306/mall?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai&useSSL=false <-> mall::::mall-portal/src/main/resources/application-dev.yml::::spring.datasource.url::::jdbc:mysql://localhost:3306/mall?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai&useSSL=false,mall,spring.datasource.url,jdbc:mysql://localhost:3306/mall?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai&useSSL=false,ConfigType.URL,mall-admin/src/main/resources/application-dev.yml,spring,spring.datasource.url,jdbc:mysql://localhost:3306/mall?useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai&useSSL=false,ConfigType.URL,mall-portal/src/main/resources/application-dev.yml,spring,True
value-equality,mall::::mall-common/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-data-redis::::groupId::::org.springframework.boot <-> mall::::mall-demo/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-security::::groupId::::org.springframework.boot,mall,project.dependencies.dependency_spring-boot-starter-data-redis.groupId,org.springframework.boot,ConfigType.NAME,mall-common/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-security.groupId,org.springframework.boot,ConfigType.NAME,mall-demo/pom.xml,maven,False
value-equality,mall::::mall-admin/src/main/resources/application-prod.yml::::logging.level.com.macro.mall::::info <-> mall::::mall-portal/src/main/resources/application-prod.yml::::logging.level.root::::info,mall,logging.level.com.macro.mall,info,ConfigType.UNKNOWN,mall-admin/src/main/resources/application-prod.yml,spring,logging.level.root,info,ConfigType.UNKNOWN,mall-portal/src/main/resources/application-prod.yml,spring,False
value-equality,mall::::mall-admin/pom.xml::::project::::parent_mall::::groupId::::com.macro.mall <-> mall::::mall-common/pom.xml::::project::::groupId::::com.macro.mall,mall,project.parent_mall.groupId,com.macro.mall,ConfigType.NAME,mall-admin/pom.xml,maven,project.groupId,com.macro.mall,ConfigType.NAME,mall-common/pom.xml,maven,True
value-equality,mall::::mall-admin/src/main/resources/application-dev.yml::::minio.bucketName::::mall <-> mall::::mall-admin/src/main/resources/application.yml::::redis.database::::mall,mall,minio.bucketName,mall,ConfigType.UNKNOWN,mall-admin/src/main/resources/application-dev.yml,spring,redis.database,mall,ConfigType.NAME,mall-admin/src/main/resources/application.yml,spring,False
value-equality,mall::::mall-portal/pom.xml::::project::::modelVersion::::modelVersion:4.0.0 <-> mall::::pom.xml::::project::::modelVersion::::modelVersion:4.0.0,mall,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,mall-portal/pom.xml,maven,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,pom.xml,maven,True
value-equality,mall::::mall-portal/src/main/resources/application-dev.yml::::server.port::::8085 <-> mall::::mall-portal/src/main/resources/application-prod.yml::::server.port::::8085,mall,server.port,8085,ConfigType.PORT,mall-portal/src/main/resources/application-dev.yml,spring,server.port,8085,ConfigType.PORT,mall-portal/src/main/resources/application-prod.yml,spring,False
value-equality,mall::::mall-admin/pom.xml::::project::::parent_mall::::groupId::::com.macro.mall <-> mall::::mall-portal/pom.xml::::project::::dependencies::::dependency_mall-security::::groupId::::com.macro.mall,mall,project.parent_mall.groupId,com.macro.mall,ConfigType.NAME,mall-admin/pom.xml,maven,project.dependencies.dependency_mall-security.groupId,com.macro.mall,ConfigType.NAME,mall-portal/pom.xml,maven,False
value-equality,mall::::mall-mbg/pom.xml::::project::::artifactId::::mall-mbg <-> mall::::mall-search/pom.xml::::project::::dependencies::::dependency_mall-mbg::::artifactId::::mall-mbg,mall,project.artifactId,mall-mbg,ConfigType.NAME,mall-mbg/pom.xml,maven,project.dependencies.dependency_mall-mbg.artifactId,mall-mbg,ConfigType.NAME,mall-search/pom.xml,maven,True
value-equality,mall::::mall-admin/src/main/resources/application.yml::::redis.database::::mall <-> mall::::mall-portal/src/main/resources/application.yml::::redis.database::::mall,mall,redis.database,mall,ConfigType.NAME,mall-admin/src/main/resources/application.yml,spring,redis.database,mall,ConfigType.NAME,mall-portal/src/main/resources/application.yml,spring,False
