dependency_category,link_str,project,option_name,option_value,option_type,option_file,option_technology,dependent_option_name,dependent_option_value,dependent_option_type,dependent_option_file,dependent_option_technology,rating,final_rating,explanation,gpt-4o_without,gpt-4o_all,gpt-3.5-turbo_all,gpt-3.5-turbo_without,rag-llama3:8b,llama3:8b_all,llama3:70b_all,llama3:8b_without,llama3:70b_without
value-equality,piggymetrics::::auth-service/pom.xml::::project::::dependencies::::dependency_json-path::::scope::::test <-> piggymetrics::::notification-service/pom.xml::::project::::build::::plugins::::plugin_jacoco-maven-plugin::::executions::::execution_report::::phase::::test,piggymetrics,project.dependencies.dependency_json-path.scope,test,ConfigType.UNKNOWN,auth-service/pom.xml,maven,project.build.plugins.plugin_jacoco-maven-plugin.executions.execution_report.phase,test,ConfigType.UNKNOWN,notification-service/pom.xml,maven,FALSE,FALSE,,False,False,True,False,,,False,False,False
value-equality,piggymetrics::::docker-compose.yml::::services::::account-service::::logging::::options::::max-size::::10m <-> piggymetrics::::docker-compose.yml::::services::::statistics-service::::logging::::options::::max-size::::10m,piggymetrics,services.account-service.logging.options.max-size,10m,ConfigType.SIZE,docker-compose.yml,docker-compose,services.statistics-service.logging.options.max-size,10m,ConfigType.SIZE,docker-compose.yml,docker-compose,Borderline,FALSE,different services does not depend on each other,False,False,True,False,False,False,False,,False
value-equality,piggymetrics::::account-service/pom.xml::::project::::dependencies::::dependency_spring-cloud-starter-oauth2::::groupId::::org.springframework.cloud <-> piggymetrics::::gateway/pom.xml::::project::::dependencies::::dependency_spring-cloud-starter-sleuth::::groupId::::org.springframework.cloud,piggymetrics,project.dependencies.dependency_spring-cloud-starter-oauth2.groupId,org.springframework.cloud,ConfigType.NAME,account-service/pom.xml,maven,project.dependencies.dependency_spring-cloud-starter-sleuth.groupId,org.springframework.cloud,ConfigType.NAME,gateway/pom.xml,maven,FALSE,FALSE,,False,False,True,True,,,False,True,False
value-equality,piggymetrics::::docker-compose.yml::::services::::account-mongodb::::environment::::MONGODB_PASSWORD::::$MONGODB_PASSWORD <-> piggymetrics::::docker-compose.yml::::services::::notification-mongodb::::environment::::MONGODB_PASSWORD::::$MONGODB_PASSWORD,piggymetrics,services.account-mongodb.environment.MONGODB_PASSWORD,$MONGODB_PASSWORD,ConfigType.PASSWORD,docker-compose.yml,docker-compose,services.notification-mongodb.environment.MONGODB_PASSWORD,$MONGODB_PASSWORD,ConfigType.PASSWORD,docker-compose.yml,docker-compose,Borderline,Borderline,"if both services share same database then true, else false",True,False,True,True,True,True,True,,True
value-equality,piggymetrics::::statistics-service/src/test/resources/application.yml::::spring.data.mongodb.database::::piggymetrics <-> piggymetrics::::turbine-stream-service/pom.xml::::project::::parent_piggymetrics::::artifactId::::piggymetrics,piggymetrics,spring.data.mongodb.database,piggymetrics,ConfigType.NAME,statistics-service/src/test/resources/application.yml,spring,project.parent_piggymetrics.artifactId,piggymetrics,ConfigType.NAME,turbine-stream-service/pom.xml,maven,FALSE,FALSE,,False,False,False,False,,,False,False,False
value-equality,piggymetrics::::auth-service/Dockerfile::::CMD::::param2::::-jar <-> piggymetrics::::config/Dockerfile::::CMD::::param2::::-jar,piggymetrics,CMD.param2,-jar,ConfigType.UNKNOWN,auth-service/Dockerfile,docker,CMD.param2,-jar,ConfigType.UNKNOWN,config/Dockerfile,docker,FALSE,FALSE,,False,False,True,True,True,True,,True,
value-equality,piggymetrics::::docker-compose.yml::::services::::config::::logging::::options::::max-size::::10m <-> piggymetrics::::docker-compose.yml::::services::::statistics-mongodb::::logging::::options::::max-size::::10m,piggymetrics,services.config.logging.options.max-size,10m,ConfigType.SIZE,docker-compose.yml,docker-compose,services.statistics-mongodb.logging.options.max-size,10m,ConfigType.SIZE,docker-compose.yml,docker-compose,Borderline,FALSE,different services does not depend on each other,False,False,True,False,True,True,False,True,False
value-equality,piggymetrics::::auth-service/pom.xml::::project::::dependencies::::dependency_de.flapdoodle.embed.mongo::::scope::::test <-> piggymetrics::::auth-service/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-test::::scope::::test,piggymetrics,project.dependencies.dependency_de.flapdoodle.embed.mongo.scope,test,ConfigType.UNKNOWN,auth-service/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-test.scope,test,ConfigType.UNKNOWN,auth-service/pom.xml,maven,FALSE,FALSE,,False,False,True,True,True,True,False,,False
value-equality,piggymetrics::::auth-service/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-test::::scope::::test <-> piggymetrics::::notification-service/src/test/resources/application.yml::::spring.mail.password::::test,piggymetrics,project.dependencies.dependency_spring-boot-starter-test.scope,test,ConfigType.UNKNOWN,auth-service/pom.xml,maven,spring.mail.password,test,ConfigType.PASSWORD,notification-service/src/test/resources/application.yml,spring,FALSE,FALSE,,False,False,False,False,,,False,False,False
value-equality,piggymetrics::::statistics-service/pom.xml::::project::::build::::plugins::::plugin_spring-boot-maven-plugin::::groupId::::org.springframework.boot <-> piggymetrics::::statistics-service/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-security::::groupId::::org.springframework.boot,piggymetrics,project.build.plugins.plugin_spring-boot-maven-plugin.groupId,org.springframework.boot,ConfigType.NAME,statistics-service/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-security.groupId,org.springframework.boot,ConfigType.NAME,statistics-service/pom.xml,maven,FALSE,FALSE,,False,False,False,True,,,True,True,True
